Round,HarvestDate,BoxNo,RhizoSpecies,Strain,TrtID,HostSpecies,Ploidy,Origin,Acc,PlantID,Pouch,PlantsIn Pouch,Scan,LeafNo,NodNo,NodColor,QNodColor,QNodColor2,ShootBMg,RootBMg,NodBMmg,ANBMmg
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Slovenia,251,445,11,3,Y,0,0,,0,0,0.0026,0.0012,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Slovenia,251,452,11,3,Y,3,0,,0,0,0.0018,0.0011,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Slovenia,251,461,11,3,Y,1,0,,0,0,0.0015,0.0024,,
2,7/20/17,12,S. fredii,USDA205,F,Sativa,4X,Slovenia,251,473,12,2,Y,2,0,,0,0,0.0029,0.0038,,
2,7/20/17,12,S. fredii,USDA205,F,Sativa,4X,Slovenia,251,476,12,2,Y,1,0,,0,0,0.0041,0.0056,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,2X,Russia,387,606,23,1,Y,3,0,,0,0,0.0024,0.0014,,
2,7/19/17,11,S. fredii,USDA205,F,Caerulea,2X,Russia,466,306,35,3,Y,2,0,,0,0,0.0006,0.0012,,
2,7/19/17,11,S. fredii,USDA205,F,Caerulea,2X,Russia,466,311,35,3,Y,1,0,,0,0,0.0009,0.0013,,
2,7/19/17,11,S. fredii,USDA205,F,Caerulea,2X,Russia,466,313,35,3,Y,2,0,,0,0,0.0004,0.0006,,
2,7/20/17,12,S. fredii,USDA205,F,Caerulea,2X,Russia,466,330,36,1,Y,2,0,,0,0,0.0012,0.0008,,
2,7/19/17,11,S. fredii,USDA205,F,Caerulea,2X,Kazakhstan,502,363,47,1,Y,2,0,,0,0,0.0006,0.0005,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,Russia,551,686,59,4,Y,3,0,,0,0,0.0022,0.0022,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,Russia,551,694,59,4,Y,2,0,,0,0,0.0005,0.0004,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,Russia,551,700,59,4,Y,2,0,,0,0,0.0012,0.0023,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,Russia,551,707,59,4,Y,1,0,,0,0,0.0011,0.0025,,
2,7/20/17,12,S. fredii,USDA205,F,Falcata,4X,Russia,551,712,60,1,Y,3,0,,0,0,0.0038,0.0015,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Tajikistan,574,497,71,3,Y,3,0,,0,0,0.0030,0.0021,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Tajikistan,574,503,71,3,Y,1,0,,0,0,0.0021,0.0037,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Tajikistan,574,509,71,3,Y,0,0,,0,0,0.0012,0.0017,,
2,7/20/17,12,S. fredii,USDA205,F,Sativa,4X,Tajikistan,574,519,72,1,Y,1,0,,0,0,0.0021,0.0037,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,China,704,734,83,2,Y,2,0,,0,0,0.0011,0.0024,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,4X,China,704,744,83,2,Y,1,0,,0,0,0.0004,0.0010,,
2,7/20/17,12,S. fredii,USDA205,F,Falcata,4X,China,704,758,84,3,Y,2,0,,0,0,0.0010,0.0008,,
2,7/20/17,12,S. fredii,USDA205,F,Falcata,4X,China,704,767,84,3,Y,1,0,,0,0,0.0010,0.0026,,
2,7/20/17,12,S. fredii,USDA205,F,Falcata,4X,China,704,776,84,3,Y,2,0,,0,0,0.0009,0.0011,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,2X,China,707,638,95,3,Y,2,0,,0,0,0.0019,0.0009,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,2X,China,707,645,95,3,Y,1,0,,0,0,0.0009,0.0017,,
2,7/19/17,11,S. fredii,USDA205,F,Falcata,2X,China,707,652,95,3,Y,3,0,,0,0,0.0008,0.0016,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Kazakhstan,713,546,107,3,Y,1,0,,0,0,0.0016,0.0027,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Kazakhstan,713,551,107,3,Y,1,0,,0,0,0.0030,0.0034,,
2,7/19/17,11,S. fredii,USDA205,F,Sativa,4X,Kazakhstan,713,554,107,3,Y,2,0,,0,0,0.0023,0.0037,,
2,7/20/17,12,S. fredii,USDA205,F,Sativa,4X,Kazakhstan,713,565,108,2,Y,2,0,,0,0,0.0018,0.0029,,
2,7/20/17,12,S. fredii,USDA205,F,Sativa,4X,Kazakhstan,713,577,108,2,Y,2,0,,0,0,0.0043,0.0061,,
