Breed, Hip Score
Airedale Terrier,910
Akita,883
Alaskan Malamute,1242
Australian Shepherd Dog,525
Bearded Collie,1397
Bernese Mountain Dog,1988
Border Collie,3966
Bullmastiff,464
Collie (Rough),701
Dalmatian,296
Doberman,1051
Dogue De Bordeaux,1379
English Setter,1232
Finnish Lapphund,275
German Shepherd Dog,12085
German Shorthaired Pointer,1647
German Wirehaired Pointer,403
Gordon Setter,933
Great Dane,586
Hungarian Vizsla,2908
Hungarian Wire Haired Vizsla,940
Irish Setter,1189
Italian Spinone,963
Large Musterlander,334
Leonberger,991
Newfoundland,2037
Old English Sheepdog,710
Poodle (Standard),1295
Pyrenean Mountain Dog,285
Retriever (Curly Coated),302
Retriever (Flat Coated),3192
Retriever (Golden),13169
Retriever (Labrador),50225
Retriever (Nova Scotia Duck Tolling),516
Rhodesian Ridgeback,1729
Rottweiler,3456
Samoyed,623
Shetland Sheepdog,688
Siberian Husky ,1981
Soft Coated Wheaten Terrier,442
Spaniel (Clumber),685
Spaniel (Cocker),1506
Spaniel (English Springer),732
Spaniel (Irish Water),409
Spaniel (Welsh Springer),995
Spanish Water Dog,462
St. Bernard,572
Tibetan Terrier,2232
Weimaraner,1475
